name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
McCay Cellars Faith “Lot 13” Vineyard,https://historicvineyardsociety.org/vineyard/mccay-cellars-faith-lot-13-vineyard,Lodi,San Joaquin,1900s,Mokelumne River,McCay Cellars,Unknown,McCay Cellars,,This vineyard was purchased by McCay Cellars in 2011. A 7-acre parcel of Zinfandel was noted on the original plot map of 1906 as “lot 13.”          ,,"{""Zinfandel"": null}",
Mohr-Fry,https://historicvineyardsociety.org/vineyard/mohr-fry,Lodi,San Joaquin,1940s,Mokelumne River,"Mohr Enterprises, Ltd., L.P.",J.J. Mettler,"Bogle, St. Amant, Macchia, Joel Gott, St. Jorge","St. Amant, Joel Gott, Eola Hills, Valhalla, Bogle, Kenwood, Chouinard","St. Amant, Joel Gott, Eola Hills, Valhalla, Bogle, Kenwood, Chouinard Own-rooted 7 different blocks Planting dates 1941-1945 Subsurface drip irrigation Lodi Rules Certified          ",,{},
Montafi Ranch,https://historicvineyardsociety.org/vineyard/montafi-ranch-tom-feeney,Russian River Valley,Sonoma,1920s,,Seghesio Family Vineyards,Montafi Family,"Seghesio Family Vineyards, Carlisle","Carlisle, Williams Selyem, Starry Night","Blackberry, boysenberry, bay leaf, eucalyptus, sometimes pepper, sometimes orange rind. Planted by Ben Montafi’s father in 1926. Formerly used for White Zinfandel in the 1980s.          ",,"{""Zinfandel"": null}",
Monte Bello,https://historicvineyardsociety.org/vineyard/monte-bello,Santa Cruz Mountains,Santa Clara,1940s,,Ridge Vineyards,William Short,Ridge Vineyards,Gemello,"Cassis, black cherry, violets, chaparral on the nose; licorice, mineral, lively acidity on palate, with long finish This block is all that remains of a 17-acre planting by William Short, a theologian from Stanford who purchased part of the old Torre winery on Monte Bello Ridge. Torre followed the example of his famous neighbors Osseo Perrone (Monte Bello) and Pierre Klein (Mira Valle) in producing high-quality wine in an age where most wine was sold off as cheap French imitations. His vineyard and winery did not survive Prohibition. Short sold his grapes to Gemello Winery in Mountain View. A partnership of families that would become Ridge Vineyards bought out Short in 1959 and made their first commercial Monte Bello Cabernet wine in 1962. These blocks were part of the 1971 Monte Bello that showed well in the 1976 Judgment of Paris. The vines came from the defunct Fountaingrove community and are now in the process of becoming certified through Foundation Plant Services.          ",,{},
Monte Rosso,https://historicvineyardsociety.org/vineyard/monte-rosso,Moon Mountain,Sonoma,1880s,,E. & J. Gallo Winery,Emmanuel Goldstein,"Louis M. Martini, Orin Swift","Louis M. Martini, Rancho Zabaco, Biale, Ravenswood, Bedrock Wine Co., Rock Wall Wine Co., Amapola Creek, Repris, Lasseter, Carlisle, Ridge Vineyards","Southwest side of the Mayacamas Range, close to the town of Agua Caliente Louis M. Martini, Rancho Zabaco, Biale, Ravenswood, Bedrock Wine Co., Rock Wall Wine Co., Amapola Creek, Repris, Lasseter, Carlisle, Ridge Vineyards The vineyard historically produces wines of high acidity across all varieties and producers due to the volcanic influence and minerality in the homogenous Red Hill Loam soil, the southern facing aspect of the vineyard, and the 1300’ elevation. Emmanuel Goldstein and his business partner Benjamin Dreyfus were business partners in the grocery business in San Francisco in the early 1880s when they decided to move out to Sonoma Valley and begin cultivating and planting Monte Rosso Vineyard. At the time the land was known as Monte Rosso (red earth), but the vineyard was originally called Mount Pisgah. The first vines went into the ground in 1886 and some of the Zinfandel and Semillon vines that were planted then are still producing fruit today. Also in 1886, a three-story, gravity-feed winery was completed and it was named Mount Peak. Fast forward to 1938, when the Goldstein family no longer wanted to continue farming and managing the vineyard, they sold to Louis M. Martini, who was one of the buyers at the time and had his namesake winery located in St. Helena. Martini planted the first Cabernet vines in 1940 and those vines are still producing fruit today. The vineyard at that point had grown to 250 acres and was planted to Zinfandel, Cabernet Sauvignon, Semillon, Riesling, and other varietals. Three generations of the Martini family continue to farm the vineyard up until 2002 when the vineyard and Louis M. Martini winery was sold to E. & J. Gallo Winery. Today, the vineyard has 10 varieties planted including the old Semillon, Zinfandel, and Cabernet Sauvignon.          ",Loam; Rocky; Volcanic,"{""Zinfandel"": null, ""Cabernet Sauvignon"": null, ""Riesling"": null}",
Montecillo Vineyard,https://historicvineyardsociety.org/vineyard/montecillo-vineyard,Moon Mountain,Sonoma County,1960s,,Stewart Cellars,,,,"The original MONTECILLO VINEYARD of Glen Ellen probably dates back to the period of the American Civil War, or roughly the early 1860s. It is possible they may even go back to about 1857 when a neighboring vineyard, the “Thomas Nau” property was planted. The (Old Vine block) planted in the 1964, Montecillo Vineyards sits at 1800’ elevation on the Sonoma side of the Mayacamas Mountains above the town of Kenwood, just 680 yards from the Napa county line. This is old-school, mountain Cabernet Sauvignon, dry-farmed and grown on St. George rootstock in Red Hill clay loam soils on a California sprawl trellis system. Owned by Stewart Cellars, this vineyard was the backbone of the Kenwood Artist series Cabernets from the 1970s and 1980s, providing classic Cabernet Sauvignons flavors and aromas and plenty of structure from the mountain-grown tannins.          ",Clay; Clay Loam; Loam,"{""Cabernet Sauvignon"": null}",
Mori Vineyard,https://historicvineyardsociety.org/vineyard/mori-vineyard,Contra Costa,Contra Costa,1930s,,"Contra Costa County Water District, leased and farmed by Bedrock Wine Co.",,"Bedrock Wine Co., Turley",Turley,"The vineyard is planted to own-rooted Zinfande on Delhi Sands. One of the most inland vineyards in Oakley, Mori tends to be a warmer site than those vineyards situated closer to the delta.          ",Sand,{},
Morisoli Vineyard,https://historicvineyardsociety.org/vineyard/morisoli-vineyard,Napa Valley,Napa,1900s,Rutherford,Gary Morisoli,Rocco / Plinio Morisoli,Elyse Winery: 1985 – Present,"Christian Brothers Winery: 1920s-1960s
Sunny St. Helena Winery and Napa Valley Co-Op Winery: 1960’s-1984","Located between Niebaum and Manley lanes in Rutherford, less than a mile west of Highway 29 in the center of the Rutherford Bench. This two-acre plot is in the middle of the 53-acre Morisoli Vineyard. The gravelly bale clay loam and well-drained soil yields a wine of great structure and abundant fruit flavors. Christian Brothers Winery: 1920s-1960s Sunny St. Helena Winery and Napa Valley Co-Op Winery: 1960’s-1984 Originally planted in the late 1880s on own rootstock, this section was gradually replanted on St. George rootstock from 1902-1908 as the own-rooted vines died of phylloxera. This section of vineyard remained through Prohibition and its grapes were sold for sacramental wine to the Christian Brothers Winery. It remained as a very special plot of “field blend” Zinfandel and was kept in production as other sections were re-planted between the 1930s and 1980s. Since 1985 these grapes have been sold to Elyse Winery for use in their vineyard-designate Elyse “Morisoli Vineyard” Zinfandel. This vineyard is all head-trained, dry farmed and set at 7’ x 7’ vine spacing. The soil is a Bale Clay Loam and is slightly elevated allowing for good natural drainage. Bordering vineyards include Inglenook to the North, Scarecrow to the West and Phelps to the East. It is still farmed the exact same way: by hand and with a 1934 Cletrac Tractor to disk and cross-cultivate twice per year. In 2001 Jean Michel-Boursiquot, ampelographer and Director of ENTAV France, walked the vineyard and identified nine varietals including: Alicante Bouschet, Carignan, Durif, Grand Noir de la Calmette, Muscat Hamburg, Negrette, Syrah, Valdiguie and Zinfandel. Cuttings were taken by Deborah Golino of the UC Davis Foundations Plant Materials Service for testing, treatment and cloning. Cuttings were originally taken from this vineyard to plant the “Gate Vineyard Zinfandel” of Inglenook Winery and other vineyards within the Rutherford area. The vineyard is still in production today and yields around two",Clay; Clay Loam; Loam; Gravel; Benchland,"{""Zinfandel"": null, ""Alicante Bouschet"": null, ""Carignan"": null, ""Durif"": null, ""Negrette"": null, ""Syrah"": null, ""Valdiguie"": null}",
Mule Plane,https://historicvineyardsociety.org/vineyard/mule-plane,Lodi,San Joaquin,1920s,,J & J Shinn Ranch,Great-Great Uncle and Great-Grandfather of John Shinn,"m2, Holman Cellars, Thomas Fogarty, Markus Bokisch, Jeremy Wine Co., Arpent LLC.","Oak Stone Winery – 2000s
C.K. Mondavi
S & L Vineyards/Stokes Bros – Packing and Custom Crush","Located on the west side of the Lodi AVA in the Mokelumne River sub-AVA, Mule Plane Vineyard is approximately 1300 feet from the river. Being on the west side, the vineyard receives a better exposure to the Delta breeze during the spring and summer months allowing for excellent cooling in addition to the warm days. This makes for great fruit flavors in the grapes! This vineyard is part of the original land homesteaded by our family back in the early 1850s. m2, Holman Cellars, Thomas Fogarty, Markus Bokisch, Jeremy Wine Co., Arpent LLC. This is why Carignan is on the comeback as a varietal. Smooth tannins and easy accessibility. Awesome blueberry, strawberry fruity goodness! “As the story goes…my grandfather told my dad that he remembered seeing his uncle planing this field, with a mule, before it was planted when he was a small boy. We took the name ‘Mule Plane’ from that story. Since my grandfather was born in 1922 we estimate the field was planted somewhere in the 1927-1930 era.” – John Shinn This vineyard sits on the sandiest spot on the ranch. While the whole thing is Tokay Sandy Loam, this has the best drainage and rooting depth in the area. Since 2016, we have had a huge interest in buying fruit from this vineyard, thus the 6 different winemakers we sold to recently. We have a wait list of others who are interested. Old Vine Carignan is making a huge comeback for both rosé and red wines so we are always working to improve our farming style. This field was certified Lodi Rules sustainable in 2017. We keep a year-round cover crop on it and try to minimize soil tillage. Prior to this year, when it primarily went to a packer/shipper, we grew more for tonnage (this field still can product 8+ tons/acre). Now we are focusing on getting it down into the 6 tons/acre range through better pruning and shoot thinning practices. All of the replants in this block are self-rooting cuttings from the field. We have no idea what clone or rootstock (if any) was used to plant it b",Sandy Loam; Loam; Sand,"{""Carignan"": null}",
Nervo Ranch,https://historicvineyardsociety.org/vineyard/nervo-ranch,Alexander Valley,Sonoma,1890s,,Nervo Family,,Bedrock Wine Co.,"Ridge Vineyards, Starry Night, Nervo Winery","“With its oldest vines planted in 1896 on 25-35 degree slopes of decomposed shale, Nervo Ranch is one of the most distinct vineyards in Sonoma County. Its oldest blocks are a unique patchwork of red and white varieties once used for the now extinct Nervo Winery’s “California Burgundy.” Our Heritage Wine, which comes from these ancient vines, is made up of Zinfandel, Petite Sirah, Negrette (once known as Pinot St. George), Alicante Bouschet, Carignan, Grenache, Grand Noir, Trousseau Noir, Valdigue, Abouriou (Early Burgundy), Semillon, Burger, Chenin Blanc, Sauvignon Blanc and more. It tends to be both perfumed and aromatic, reflecting the shale soils and climate that define the area south of Geyserville.”          ",Shale; Benchland,"{""Zinfandel"": null, ""Petite Sirah"": null, ""Negrette"": null, ""Alicante Bouschet"": null, ""Carignan"": null, ""Grenache"": null, ""Trousseau"": null, ""Burger"": null, ""Chenin Blanc"": null, ""Sauvignon Blanc"": null}",
Nicolini Ranch,https://historicvineyardsociety.org/vineyard/nicolini-ranch,Lodi,San Joaquin,1930s,Mokelumne River,Alfred Nicolini,Roca Ramily,"The grapes never had a home in a single vineyard label. For the last 10 years, the grapes were mostly sold off to larger producers for blending purposes and there are no records from earlier days. The vineyard was trained to produce large quantities of grapes – it almost killed the vines – and the weeds were often taller than the vines. The current owners were ready to pull the field out.",,"The grapes never had a home in a single vineyard label. For the last 10 years, the grapes were mostly sold off to larger producers for blending purposes and there are no records from earlier days. The vineyard was trained to produce large quantities of grapes – it almost killed the vines – and the weeds were often taller than the vines. The current owners were ready to pull the field out. Bigger clusters with smaller berries were harvested early September – there were no issues with rot or any other diseases. The vineyard is recovering well from the performed adjustments. Quality of fruit is great. The first vintage of a singe-vineyard ancient vine Carignan will be released in the summer of 2023. The vineyard is a total of 9 acres including a barn and an office building. It is divided into two 4-acre blocks which can be irrigated separately. The front block has mostly original vines back from the very early 1930s. The back block was re-planted in 1950 – some single vines of Flame Tokay can be found as well. Edison and Johnnye Shell purchased the lot around 1947 after he returned from the Second World War. At the very early days, there were cherry trees along the canal in the back block. The front block was well established with Carignan by then. According to oral history, the vineyard was owned by the Roca family. Evidence of stills were in the barn pit and the house basement. The owners applied for a winery permit in 1940 and documents of application still exist. The barn pit was there when the property was purchased by the Shells. The next door neighbor told stories that during Prohibition bootleg booze was sold from there. Cars turned off lights as they approached at night, pulled in and left. The oldest vines were probably producing during that time. Markus Wine Co. was approached in early 2021 to help grow quality fruit and to open this vineyard up to a new market. The vineyard was immediately re-pruned, heavily suckered and shoot-thinned, and excess fruit was ",Sandy Loam; Loam; Sand,"{""Carignan"": null}",
Oakville Farmhouse Vineyard,https://historicvineyardsociety.org/vineyard/oakville-farmhouse-vineyard,Oakville,Napa,1930s,,,,Bedrock Wine Co.,Casa Nuestra Winery,"“The tiny Oakville Farmhouse, planted in the 1930s, is the oldest remaining vineyard in the appellation. Wedged within an ocean of tightly spaced Cabernet plantings, the diverse vineyard is a remnant of an older, and perhaps more interesting, Napa Valley. The vineyard is planted to an array of varieties including Negrette, Mondeuse, Zinfandel, Petite Sirah, Carignan, Colombard, Chenin Blanc, Semillon, Malvasia Bianca and more. In the 1880s, H.W. Crabb, the original owner of the famous To Kalon Vineyard, named his favorite of the over 300 varieties planted and sold at his ranch at the time: Crabb’s Black Burgundy. It turns out that Crabb’s Black Burgundy, which was widely grown in Napa Valley and across the rest of the state, is Mondeuse. The last remaining old Mondeuse in Napa Valley is at this vineyard, located just a few hundred yards from the edge of Crabb’s historic ranch.”          ",,"{""Negrette"": null, ""Zinfandel"": null, ""Petite Sirah"": null, ""Carignan"": null, ""Colombard"": null, ""Chenin Blanc"": null}",
Old Crane/G.B. Crane Vineyard,https://historicvineyardsociety.org/vineyard/old-crane,St. Helena,Napa,1880s,,The Crane Assembly,Dr. George Belden Crane,,Biale,"Planted in the 1880s by Dr. George Belden Crane, these historic vines’ roots are embedded in ground that was formed over millenia as soil and gravel washed down from the Mayacamas Mountains via Sulphur Creek to the western flank of St. Helena. Dr. Crane, realizing the similarity of conditions to other great wine regions, was the first in the valley in 1861 to plant European varieties in his pioneering efforts to produce great wine.          ",Gravel,{},
Old Hill Ranch,https://historicvineyardsociety.org/vineyard/old-hill-ranch,Sonoma Valley,Sonoma,1880s,,Will Bucklin,William McPherson Hill,Bucklin and Ravenswood,"Joe Swan, Topolos, Mount Eden Vineyards, Merry Vintners, Roudon-Smith, Davis Bynum","Joe Swan, Topolos, Mount Eden Vineyards, Merry Vintners, Roudon-Smith, Davis Bynum Old Hill Ranch is possibly the oldest continuously-farmed vineyard in California. It was established in 1852 by William McPherson Hill who was the first viticulturist to import non-Mission grapes into Sonoma. Hill sold most of his land in 1898 except for this last remaining 40-acre parcel. 12 acres were replanted in 1885. Hill’s son, Robert Potter Hill, managed Old Hill until 1960. Old Hill is a dry-farmed, certified organic field blend. Managed by Will Bucklin and owned by Anne Teller of Oak Hill Farm.          ",,{},
Old Kraft,https://historicvineyardsociety.org/vineyard/old-kraft,St. Helena,Napa,1890s,,Bill and Margie Hart,Franz Kraft,,Biale,"Franz “Frank” Kraft was an early winemaking pioneer who established his vineyard and winery just north of the town of St. Helena in the 1860s. When we first saw these ancient vines and their proximity to the old Kraft winery site (today’s iconic Spottswoode) we knew they must have been once connected. Sure enough, Bill and Margie Hart – who are the proprietors of this small historic vineyard – researched it and found the original vineyard was replanted in the 1880s. With the aid of Bill Pease of Madrigal Vineyard Management and Bob Biale, a historic vineyard preservation project rarely seen in Napa Valley (or anywhere) was set into motion. Laying drainage, irrigation, tilling, pruning, fertilizing, and interplanting have brought the old site back to productive life. Now interplanted with young vines yet retaining its original makeup the vineyard is producing small quantities of beautiful grapes as of 2006. Part of the vineyard is rare old Petite Sirah.          ",,"{""Petite Sirah"": null}",
Old School Vineyard,https://historicvineyardsociety.org/vineyard/old-school-vineyard,Lodi,,1900s,,Cheryl Holman,,Delta Artisan buys all of our grapes to be used for Tokay Brandy,,"Delta Artisan buys all of our grapes to be used for Tokay Brandy This is a vineyard of about 3+ acres of Tokay grapes that were planted around 1906 and have been tended to and cared for by my husband and myself for 11 years.  Before us, my father David Davis was the caregiver from 1991. Helmuth Retzer was the previous owner before him and he built the home in 1978. Who owned the property before that I do not know. The grapes were used by Gallo for a number of years until approximately 2000.          ",,{},
Old Stake 1901 Vineyard,https://historicvineyardsociety.org/vineyard/old-stake,Kelsey Bench,Lake County,1900s,,Dancing Crow Vineyards,Unknown,Dancing Crow Vineyards,,"Ruby-purple in color, the wine’s aromas are evocative of freshly picked cherries and spring lavender. The sensation when tasting is one of a supple and exotic blend of fruit and spices. Flavors of fresh berry and spiced plum compote are given depth by the judicious addition of cardamom, which makes this an unusually engaging wine. Our Old Stake 1901 Vineyard was planted in 1901 and has 7 acres of freestanding head-pruned vines. To date we have identified 16 different grape varieties including Alicante Bouschet, Touriga Nacional, Zinfandel, Cinsault, Cabernet Sauvignon, Grenache and even a few white varieties like Roussanne and Perlette.          ",,"{""Alicante Bouschet"": null, ""Zinfandel"": null, ""Cinsaut"": null, ""Cabernet Sauvignon"": null, ""Grenache"": null, ""Roussanne"": null}",
Pacini Vineyard,https://historicvineyardsociety.org/vineyard/pacini,Mendocino,Mendocino,1900s,Talmage Bench,Lorenzo Pacini,Figoni Family,"Hall, Lava Vine, Bedrock, Shannon Wine Company, Gerard","Edmeads, Milano, Steele, Souverain.","Between the Mill Creek and McClure Creek drainages on Mill Creek Road in Talmage, CA Planted on steep terraced mountainsides, dry-farmed and no frost in 30 years.          ",,{},
Pagani Ranch,https://historicvineyardsociety.org/vineyard/pagani-ranch,Sonoma Valley,Sonoma,1900s,,Pagani Family,Felice Pagani,,"Ridge, St. Francis, Carlisle, Bedrock, Biale, Seghesio, Wellington","Ridge, St. Francis, Carlisle, Bedrock, Biale, Seghesio, Wellington Zinfandel– an exotic, dark, ultra ripe, lush character; a big rich bold Zinfandel wine from old vine fruit. Alicante is used as a blending grape, with Zinfandel to enhance color and flavors and balance high alcohols. Angela and Felice Pagani came from Italy to Sonoma Valley in the late 1880s and purchased the ranch and planted these vines. It is a very rare vineyard because it has narrow rows, is head trained, and dry farmed. The vineyard used to be plowed by horses before tractors and discs were invented.          ",Rocky,"{""Zinfandel"": null}",
Palisades Vineyard,https://historicvineyardsociety.org/vineyard/palisades-vineyard,Calistoga,,1960s,,Felicia Woytak and Steven Rasmussen,Frank Barberis,"Palisades Canyon
Robert Biale Vineyards
Mending Wall Winery
Tom Eddy Winery",,"Palisades Vineyard is located off of Palisades Road directly below the high cliffs of The Palisades in a narrow riparian canyon one mile north of the town of Calistoga. Palisades Canyon Robert Biale Vineyards Mending Wall Winery Tom Eddy Winery Complex layers of rose petal, baking spices, bitter chocolate, framed by fresh blueberries. Expressing impeccable balance and depth from 60-year-old head-trained, dry-farmed vines. Finishes with an earthy core of dusty black cherry, enhanced by fine grained structure, characteristic of this noble grape. —Palisades Canyon’s description of their 2021 Petite Sirah An inviting nose filled with flavors of plum, lavender, black cherry, violets, and cardamon. Rich and broad on the palate with flavors of blackberry, cherry wood, wet slate, and dark chocolate. Long and persistent on the finish with well-integrated and finely tuned tannins. —Robert Biale Vineyards’ description of their 2022 Palisades Vineyard Petite Sirah The oldest vines on the property were planted in 1964 by Frank Barberis. These blocks of Petite Sirah grafted on St. George rootstock replaced Petit Sirah vines planted by his father (see photo of original vines). Frank planted an additional block (4.0 acres in Block 10) to Petite Sirah in the early 1970s. Today, the old vine, head trained Petite Sirah are dry farmed in the tradition of the original farm. In addition to Petite Sirah, blocks of Cabernet Sauvignon, Cabernet Franc and Chenin Blanc were planted by the current owners between 2015 and 2025. The Cabernet Sauvignon was field grafted from budwood with historical roots in Napa Valley (Eisele, Inglenook, See). All of the new vines were grafted onto St. George and 110R rootstock. Adhering to the historic nature of the vineyard, the new vines are head trained and planted on an 8’ x 8’ grid. Once established, the owners intend to dry farm these vines. Vineyards have been planted on the property since at least 1878 when it was owned by James Horn, an immigrant from ",,"{""Petite Sirah"": null, ""Cabernet Sauvignon"": null, ""Chenin Blanc"": null}",
Papera Ranch (Carlo’s),https://historicvineyardsociety.org/vineyard/papera-ranch-carlos,Russian River Valley,Sonoma,1930s,,Stuart Coulson,Charley Papera,"Carlisle, Bedrock, Novy, Williams Selyem","Carlisle, Bedrock, Novy, DeLoach, Williams Selyem",          ,,{},
Parenti Vineyard,https://historicvineyardsociety.org/vineyard/parenti-vineyard,Solano County Green Valley,Solano County,1960s,Green Valley,Gary Parenti,Parenti Family,,Broc Cellars,"Positioned off of De Leu Road and on the backside of Rockville Park in Fairfield on the valley floor. St. George rootstock on Conejo series soils. Very deep, well-drained soils that formed in alluvium from basic igneous or sedimentary rocks. 80′-90′ elevation, 8′ × 8′ spacing, split into two 2.5 acre blocks.          ",Rocky; Alluvial,{},
Pastori Vineyard,https://historicvineyardsociety.org/vineyard/pastori-vineyard,Alexander Valley,,1920s,,,,,,"Frank Pastori farmed grapes all his life in Northern Sonoma County and passed at 100 years old in 2020. His father, an Italian immigrant, purchased land in the early 1900’s north of Geyserville, and Frank was in the fields as a tiny boy and started farming as a youngster what is now known as Pastori Family Vineyards in north Geyserville. Initially, the land, like most of Sonoma County, was planted in apples, pears, prunes, and some grapes. Now it’s completely grapes, mostly replanted in the 1960’s. The current ranch was purchased by Robert O’Connor in 1925 from William Black of the Black Oak Ranch. At that point, the ranch was mainly pasture and prunes, but with some grapes. For many years, Frank Pastori leased from the O’Connor’s and purchased the land in the 1970’s.  Pastori Vineyards is a patchwork of many different varietals ( Merlot, Zinfandel, Cabernet Sauvignon, Carignan and Chardonnay) planted into many different blocks. With the passing of Frank Pastori, the ranch is now managed by Frank’s grandson, Paolo Pastori Ng, who as the fourth generation, now guides Pastori Family Vineyards whose roots date back to 1914. Blocks Zin #2, CG #1, Zin #3, and CG #2 were the original vines when William Black sold the property in 1925. Dates are still under review for the Cabernet Sauvignon.          ",,"{""Merlot"": null, ""Zinfandel"": null, ""Cabernet Sauvignon"": null, ""Carignan"": null, ""Chardonnay"": null}",
Pato Vineyard,https://historicvineyardsociety.org/vineyard/pato-vineyard,Contra Costa,Contra Costa,1900s,,"Contra Costa County Water District, leased and farmed by Bedrock Wine Co.",,Bedrock Wine Co.,"Rosenblum, Ridge Vineyards, The Prisoner Wine Co., Neyers","“We’ve been farming Pato vineyard since 2012 and made our first vineyard-designated wine from this beautiful place in 2016. Planted in 1905 and located on the interior edge of Oakley, this well-known site (Ridge, Rosenblum, Neyers and others have vineyard-designated it in the past) is own-rooted and planted on the famous Delhi sands that define the area. Pato wines are completely different expression of the area than Evangelho—the site tends towards slightly higher pHs and a riper expression of the area. Here, dark fruit dominates, in part due to the larger percentage of Petite Sirah. The sandy soils provide supple texture and polish but there is considerable fruit weight.”          ",Sand,"{""Petite Sirah"": null}",
Peroni Ranch,https://historicvineyardsociety.org/vineyard/t-c-vineyard,Amador,Amador,1890s,Shenandoah Valley of CA,Margie and Jeff Runquist,,Jeff Runquist Wines,,"Shenandoah Valley, approximately 3 miles from Highway 49, Plymouth, CA Wild berries, toffee, cinnamon, raspberries, black cherries and white pepper Nurtured with loving hands and care. Believed to have been planted around 1890.          ",,{},
Pesenti,https://historicvineyardsociety.org/vineyard/pesenti,Paso Robles,San Luis Obispo,1920s,,,,,"Turley, Pesenti","This certified organic estate-owned vineyard was planted in the 1920s on primarily limestone soil. Though the vines are also head-trained & dry-farmed, the soil plays the most important role in distinguishing this vineyard on the west side of Paso Robles. The wines have a lightness and aromas unique to the site, with crushed-mineral and floral characteristics not normally seen in Zinfandel.          ",Limestone,"{""Zinfandel"": null}",
Picchetti,https://historicvineyardsociety.org/vineyard/picchetti,Santa Cruz Mountains,Santa Clara,1880s,,Midpeninsula Regional Open Space District,Picchetti Family,Picchetti Winery,,          ,,{},
Planchon,https://historicvineyardsociety.org/vineyard/planchon,Contra Costa,Contra Costa,1900s,,Estate of Stanley Planchon,,,"Rosenblum, Cline","The 6.65-acre vineyard on Empire Avenue is what remains from the original 40-acre homestead planted by Joseph Planchon in 1902. According to the family oral history, he paid a $10 gold coin for the land “bought from the railroad.” The vineyard is planted in alluvial sands. It is primarily Zinfandel with some interplanted Merlot and Barbera. The vines thrive in the hot summer days and cooler nights with the Delta breeze. One of the most inland vineyards in Oakley, it tends to be a warmer site than the vineyards situated closer to the Delta. The roots grow deep in the sand, finding scarce water in a drought. The old gnarly zinfandel vines are old world head-pruned on their original rootstock. They produce grapes that tend to be bold, stout, and full of flavor. The property produces heavy but quality crops on such a small acreage with as much as 25 tons or more in a good year with most of it coming from the old vines section of the vineyard.          ",Sand; Alluvial,"{""Zinfandel"": null, ""Merlot"": null, ""Barbera"": null}",
Puccini,https://historicvineyardsociety.org/vineyard/puccini,Sonoma Valley,Sonoma,1900s,,,,,"Noyes, Bedrock","“A jewel of a vineyard planted in 1906, Puccini is perched at 750’ above Shultz Road in the back-alleys of Sonoma Valley (its closest neighbor as the bird flies is Rossi Ranch). I, half-jokingly, call the vineyard ‘Clos de Puccini’ due to its resemblance to some of the walled Clos of France. The 1-acre vineyard was put in by a stonemason who erected a beautiful rock wall around three sides of the vines on the steep hillsides to keep out grape-loving wildlife. The vineyard is gorgeous, and has been lovingly cared for by the Puccini family for the last two generations.”          ",Rocky; Benchland,{},
Puccioni,https://historicvineyardsociety.org/vineyard/puccioni,Dry Creek Valley,Sonoma,1900s,,Glenn Proctor,Angelo Puccioni,Drive Wines,Puccioni,"Planted by Angelo Puccioni, who was born near the town of Lucca, Italy in 1870. The two-acre Old Block was planted in 1904 on St. George rootstock. Dry-farmed and head-trained, the Old Block was farmed with a mule and plow until 1968. Selections from the Puccioni Zinfandel Clone have been taken to the Heritage Vineyard in Napa.          ",,"{""Zinfandel"": null}",
R.W. Moore,https://historicvineyardsociety.org/vineyard/r-w-moore,Coombsville,Napa,1900s,,R.W. Moore,Pleasant Ashley Stevens,"Tulocay, Phelps, Napa Port Works, Sutter Home, Aldea, Caymus, Frog’s Leap, Turley, Hendry","Turley, Biale","Tulocay, Phelps, Napa Port Works, Sutter Home, Aldea, Caymus, Frog’s Leap, Turley, Hendry The R.W. Moore vineyard consistently produces wines with great depth and structure. Silky tannins, dark berry fruit and hints of earth and spice produce a great expression of classic Zinfandel. The R.W. Moore vineyard is one of just a few that have survived and been productive for more than 100 years. Its consistency and reputation have earned the vineyard a place in discussions of California’s greatest Zinfandel vineyards.          ",,"{""Zinfandel"": null}",
Rauser Vineyard,https://historicvineyardsociety.org/vineyard/rauser-vineyard,Lodi,San Joaquin,1900s,Mokelumne River (Victor Triangle),Jean Rauser,Jacob Knoll,Klinker Brick Winery,,"Between the Mokelumne River to the north, Bruella Road to the west, and Schmeidt Road to the south. Aromas of ripe cherry, black tea, and clove. On the palate a hint of tobacco is met with flavors of pomegranate, blackberry, cassis, and toasted oak. Planted in 1909, this old and gnarly 8-acre Carignane vineyard produces beautiful fruit with wonderful flavors and aromas. There are also a few Alicante Bouschet vines scattered throughout the blocks. The vineyard is head-trained, planted on a 10′ x 10′ spacing, and fitted with a drip irrigation system. In 2020, one-third of the vineyard was replanted and now the young vines are used in our rosé program. This Carignane vineyard gets hand-picked twice. The first pick is a small amount for our rosé program at very low sugar. The second pick is usually a month and a half later at a higher sugar level for the red Carignane. The soil is silty and sandy which is typical being next to the Mokelumne River. The vineyard is LODI RULES Sustainable Winegrowing certified.          ",Sand,"{""Alicante Bouschet"": null}",
Ricetti Vineyard,https://historicvineyardsociety.org/vineyard/ricetti-vineyard,Redwood Valley,Mendocino,1940s,,Pam and Tom Ricetti,,"Frog’s Leap, Martha Stoumen, Broc Cellars","Frey, Germain-Robin","Within the heart of Redwood Valley at the intersection of Road I and East Road. Planted in the 1940s and largely intact after all these years. The vineyard is mostly planted to Carignane and interplanted with smaller amounts of Ziunfandel, French Colombard and Valdiguié. Certified organic, head-trained, and dry-farmed on gravelly loam soils.          ",Loam; Gravel,"{""Colombard"": null}",
